Date,Month_Index,Marketing_Spend,Actual_Sales
2023-01-01,1,5150.00,22500.00
2023-02-01,2,5300.00,23100.00
2023-03-01,3,5450.00,23800.00
2023-04-01,4,5600.00,24200.00
2023-05-01,5,5750.00,24900.00
2023-06-01,6,5900.00,25500.00
2023-07-01,7,6050.00,26100.00
2023-08-01,8,6200.00,26800.00
2023-09-01,9,6350.00,27400.00
2023-10-01,10,6500.00,28000.00
2023-11-01,11,6650.00,28900.00
2023-12-01,12,7000.00,45000.00
2024-01-01,13,6950.00,29500.00
2024-02-01,14,7100.00,30200.00
2024-03-01,15,7250.00,30900.00
2024-04-01,16,7400.00,31600.00
2024-05-01,17,7550.00,32300.00
2024-06-01,18,7700.00,33000.00
2024-07-01,19,7850.00,33800.00
2024-08-01,20,8000.00,34500.00
2024-09-01,21,8150.00,35100.00
2024-10-01,22,8300.00,35900.00
2024-11-01,23,8450.00,36800.00
2024-12-01,24,9000.00,54000.00
2025-01-01,25,8750.00,37500.00
2025-02-01,26,8900.00,38200.00
2025-03-01,27,9050.00,39000.00
2025-04-01,28,9200.00,39800.00
2025-05-01,29,9350.00,40500.00
2025-06-01,30,9500.00,41300.00
2025-07-01,31,9650.00,42100.00
2025-08-01,32,9800.00,42900.00
2025-09-01,33,9950.00,43800.00
2025-10-01,34,10100.00,44600.00
2025-11-01,35,10250.00,45500.00
2025-12-01,36,11000.00,65000.00
